dag_id,task_id,start_date,end_date,duration
dw_sf_10,create_processing_schema,2024-12-24 18:15:40.728179+00,2024-12-24 18:15:40.946005+00,0
dw_sf_10,load_txt_csv_sources_to_processing,2024-12-24 18:15:42.466422+00,2024-12-24 18:17:52.359627+00,130
dw_sf_10,convert_customermgmt_xml_to_csv,2024-12-24 18:15:42.494308+00,2024-12-24 18:15:47.815653+00,5
dw_sf_10,load_finwire_to_processing,2024-12-24 18:15:42.537429+00,2024-12-24 18:15:44.255864+00,2
dw_sf_10,parse_finwire,2024-12-24 18:15:44.795823+00,2024-12-24 18:17:38.203184+00,113
dw_sf_10,load_customer_mgmt_to_processing,2024-12-24 18:15:48.62311+00,2024-12-24 18:15:48.989701+00,0
dw_sf_10,create_master_schema,2024-12-24 18:17:52.907739+00,2024-12-24 18:17:53.118991+00,0
dw_sf_10,load_directly_master_tables,2024-12-24 18:17:54.800743+00,2024-12-24 18:17:55.302593+00,1
dw_sf_10,transform_load_master_prospect,2024-12-24 18:17:55.842888+00,2024-12-24 18:17:56.271982+00,0
dw_sf_10,transform_load_master_dimbroker,2024-12-24 18:17:55.867201+00,2024-12-24 18:17:56.139619+00,0
dw_sf_10,transform_load_master_dimcompany,2024-12-24 18:17:55.910993+00,2024-12-24 18:17:56.209664+00,0
dw_sf_10,transform_load_master_financial,2024-12-24 18:17:56.818392+00,2024-12-24 18:18:01.707181+00,5
dw_sf_10,load_master_dimessages_dimcompany,2024-12-24 18:17:56.84708+00,2024-12-24 18:17:57.041026+00,0
dw_sf_10,transform_load_master_dimsecurity,2024-12-24 18:17:56.877064+00,2024-12-24 18:20:26.639129+00,150
dw_sf_10,transform_load_master_dimcustomer,2024-12-24 18:17:56.903628+00,2024-12-24 18:17:58.57868+00,2
dw_sf_10,update_master_prospect,2024-12-24 18:17:59.758094+00,2024-12-24 18:18:01.301992+00,2
dw_sf_10,transform_load_master_dimaccount,2024-12-24 18:17:59.785186+00,2024-12-24 18:26:38.296438+00,519
dw_sf_10,load_master_dimessages_dimcustomer,2024-12-24 18:17:59.841419+00,2024-12-24 18:18:00.065315+00,0
dw_sf_10,transform_load_master_factwatches,2024-12-24 18:20:27.319328+00,2024-12-24 18:22:12.854509+00,106
dw_sf_10,transform_load_master_factmarkethistory,2024-12-24 18:20:27.346982+00,2024-12-24 18:38:19.757309+00,1072
dw_sf_10,transform_load_master_factcashbalances,2024-12-24 18:26:39.564278+00,2024-12-24 18:26:50.242529+00,11
dw_sf_10,load_master_dimessages_factmarkethistory,2024-12-24 18:38:20.611154+00,2024-12-24 18:38:21.458839+00,1
dw_sf_10,transform_load_master_dimtrade,2024-12-24 18:38:22.484733+00,2024-12-24 18:40:04.33198+00,102
dw_sf_10,load_master_dimessages_dimtrade,2024-12-24 18:40:05.654042+00,2024-12-24 18:40:06.46423+00,1
dw_sf_10,transform_load_master_factholdings,2024-12-24 18:40:05.677587+00,2024-12-24 18:40:08.384165+00,3
