dag_id,task_id,start_date,end_date,duration
dw_sf_5,create_staging_schema,2024-12-22 18:13:11.476039+00,2024-12-22 18:13:11.679392+00,0
dw_sf_5,load_finwire_to_staging,2024-12-22 18:13:12.929091+00,2024-12-22 18:13:13.539625+00,1
dw_sf_5,load_txt_csv_sources_to_staging,2024-12-22 18:13:12.952775+00,2024-12-22 18:14:13.142176+00,60
dw_sf_5,convert_customermgmt_xml_to_csv,2024-12-22 18:13:12.978996+00,2024-12-22 18:16:25.258395+00,192
dw_sf_5,parse_finwire,2024-12-22 18:13:14.128096+00,2024-12-22 18:13:59.477625+00,45
dw_sf_5,load_customer_mgmt_to_staging,2024-12-22 18:16:26.6407+00,2024-12-22 18:16:26.903868+00,0
dw_sf_5,create_master_schema,2024-12-22 18:16:27.778866+00,2024-12-22 18:16:28.007972+00,0
dw_sf_5,load_master_tradetype,2024-12-22 18:16:28.904867+00,2024-12-22 18:16:29.223082+00,0
dw_sf_5,transform_load_master_dimcompany,2024-12-22 18:16:28.936697+00,2024-12-22 18:16:29.236542+00,0
dw_sf_5,load_master_taxrate,2024-12-22 18:16:28.977142+00,2024-12-22 18:16:29.34903+00,0
dw_sf_5,transform_load_master_dimtime,2024-12-22 18:16:29.056569+00,2024-12-22 18:16:29.520414+00,0
dw_sf_5,load_master_statustype,2024-12-22 18:16:29.094459+00,2024-12-22 18:16:29.473911+00,0
dw_sf_5,load_master_industry,2024-12-22 18:16:29.140575+00,2024-12-22 18:16:29.439741+00,0
dw_sf_5,transform_load_master_dimdate,2024-12-22 18:16:29.189711+00,2024-12-22 18:16:29.580299+00,0
dw_sf_5,transform_load_master_prospect,2024-12-22 18:16:30.24901+00,2024-12-22 18:16:30.623585+00,0
dw_sf_5,transform_load_master_financial,2024-12-22 18:16:30.281565+00,2024-12-22 18:21:20.144927+00,290
dw_sf_5,load_master_dimessages_dimcompany,2024-12-22 18:16:30.316661+00,2024-12-22 18:16:30.557725+00,0
dw_sf_5,transform_load_master_dimsecurity,2024-12-22 18:16:30.351809+00,2024-12-22 18:16:58.878647+00,29
dw_sf_5,transform_load_master_dimbroker,2024-12-22 18:16:30.388594+00,2024-12-22 18:16:30.648795+00,0
dw_sf_5,transform_load_master_dimcustomer,2024-12-22 18:16:31.6641+00,2024-12-22 18:16:32.282981+00,1
dw_sf_5,load_master_dimessages_dimcustomer,2024-12-22 18:16:33.772115+00,2024-12-22 18:16:33.962091+00,0
dw_sf_5,transform_load_master_dimaccount,2024-12-22 18:16:33.800952+00,2024-12-22 18:16:34.333462+00,1
dw_sf_5,update_master_prospect,2024-12-22 18:16:33.836062+00,2024-12-22 18:16:34.436611+00,1
dw_sf_5,transform_load_master_factcashbalances,2024-12-22 18:16:35.669306+00,2024-12-22 18:16:38.755128+00,3
dw_sf_5,transform_load_master_factwatches,2024-12-22 18:17:00.093976+00,2024-12-22 18:17:33.369076+00,33
dw_sf_5,transform_load_master_factmarkethistory,2024-12-22 18:21:20.929129+00,2024-12-22 18:29:42.968421+00,502
dw_sf_5,load_master_dimessages_factmarkethistory,2024-12-22 18:29:44.592116+00,2024-12-22 18:29:46.060957+00,1
dw_sf_5,transform_load_master_dimtrade,2024-12-22 18:29:47.572032+00,2024-12-22 18:30:32.921293+00,45
dw_sf_5,transform_load_master_factholdings,2024-12-22 18:30:33.876319+00,2024-12-22 18:30:34.802423+00,1
dw_sf_5,load_master_dimessages_dimtrade,2024-12-22 18:30:33.907875+00,2024-12-22 18:30:34.279917+00,0
