dag_id,task_id,start_date,end_date,duration
dw_sf_10,create_staging_schema,2024-12-22 18:56:47.88901+00,2024-12-22 18:56:48.089257+00,0
dw_sf_10,load_txt_csv_sources_to_staging,2024-12-22 18:56:48.985851+00,2024-12-22 18:58:54.256046+00,125
dw_sf_10,load_finwire_to_staging,2024-12-22 18:56:49.008629+00,2024-12-22 18:56:50.519597+00,2
dw_sf_10,convert_customermgmt_xml_to_csv,2024-12-22 18:56:49.03232+00,2024-12-22 19:10:49.028597+00,840
dw_sf_10,parse_finwire,2024-12-22 18:56:51.888796+00,2024-12-22 18:58:42.675446+00,111
dw_sf_10,load_customer_mgmt_to_staging,2024-12-22 19:10:50.454893+00,2024-12-22 19:10:50.808746+00,0
dw_sf_10,create_master_schema,2024-12-22 19:10:52.068544+00,2024-12-22 19:10:52.248734+00,0
dw_sf_10,transform_load_master_dimcompany,2024-12-22 19:10:53.588272+00,2024-12-22 19:10:53.868091+00,0
dw_sf_10,load_master_industry,2024-12-22 19:10:53.611134+00,2024-12-22 19:10:53.823872+00,0
dw_sf_10,load_master_taxrate,2024-12-22 19:10:53.634092+00,2024-12-22 19:10:53.858098+00,0
dw_sf_10,load_master_tradetype,2024-12-22 19:10:53.661439+00,2024-12-22 19:10:53.887627+00,0
dw_sf_10,transform_load_master_dimtime,2024-12-22 19:10:53.691132+00,2024-12-22 19:10:54.075078+00,0
dw_sf_10,load_master_statustype,2024-12-22 19:10:53.72117+00,2024-12-22 19:10:53.960561+00,0
dw_sf_10,transform_load_master_dimdate,2024-12-22 19:10:53.756197+00,2024-12-22 19:10:54.063359+00,0
dw_sf_10,transform_load_master_prospect,2024-12-22 19:10:54.764339+00,2024-12-22 19:10:55.183628+00,0
dw_sf_10,transform_load_master_financial,2024-12-22 19:10:54.786793+00,2024-12-22 19:34:49.029475+00,1434
dw_sf_10,transform_load_master_dimbroker,2024-12-22 19:10:54.810933+00,2024-12-22 19:10:55.052413+00,0
dw_sf_10,load_master_dimessages_dimcompany,2024-12-22 19:10:54.83617+00,2024-12-22 19:10:55.043152+00,0
dw_sf_10,transform_load_master_dimsecurity,2024-12-22 19:10:54.864025+00,2024-12-22 19:13:29.482451+00,155
dw_sf_10,transform_load_master_dimcustomer,2024-12-22 19:10:56.016723+00,2024-12-22 19:10:57.140343+00,1
dw_sf_10,update_master_prospect,2024-12-22 19:10:59.430348+00,2024-12-22 19:11:00.948999+00,2
dw_sf_10,load_master_dimessages_dimcustomer,2024-12-22 19:10:59.461167+00,2024-12-22 19:10:59.655884+00,0
dw_sf_10,transform_load_master_dimaccount,2024-12-22 19:10:59.495779+00,2024-12-22 19:11:00.36202+00,1
dw_sf_10,transform_load_master_factcashbalances,2024-12-22 19:11:02.002755+00,2024-12-22 19:11:17.706162+00,16
dw_sf_10,transform_load_master_factwatches,2024-12-22 19:13:30.322032+00,2024-12-22 19:14:25.994965+00,56
dw_sf_10,transform_load_master_factmarkethistory,2024-12-22 19:34:50.42436+00,2024-12-22 19:54:03.758198+00,1153
dw_sf_10,load_master_dimessages_factmarkethistory,2024-12-22 19:54:04.588517+00,2024-12-22 19:54:05.404965+00,1
dw_sf_10,transform_load_master_dimtrade,2024-12-22 19:54:07.148413+00,2024-12-22 19:55:52.320413+00,105
dw_sf_10,transform_load_master_factholdings,2024-12-22 19:55:53.56414+00,2024-12-22 19:55:55.2989+00,2
dw_sf_10,load_master_dimessages_dimtrade,2024-12-22 19:55:53.591773+00,2024-12-22 19:55:54.064277+00,0
