dag_id,task_id,start_date,end_date,duration
dw_sf_4,create_processing_schema,2024-12-24 17:23:18.39929+00,2024-12-24 17:23:18.599185+00,0
dw_sf_4,load_finwire_to_processing,2024-12-24 17:23:19.877343+00,2024-12-24 17:23:20.610496+00,1
dw_sf_4,load_txt_csv_sources_to_processing,2024-12-24 17:23:19.909088+00,2024-12-24 17:23:58.036307+00,38
dw_sf_4,convert_customermgmt_xml_to_csv,2024-12-24 17:23:19.943153+00,2024-12-24 17:23:22.292267+00,2
dw_sf_4,parse_finwire,2024-12-24 17:23:21.296383+00,2024-12-24 17:23:50.603526+00,29
dw_sf_4,load_customer_mgmt_to_processing,2024-12-24 17:23:23.494834+00,2024-12-24 17:23:23.766409+00,0
dw_sf_4,create_master_schema,2024-12-24 17:23:58.990165+00,2024-12-24 17:23:59.180812+00,0
dw_sf_4,load_directly_master_tables,2024-12-24 17:24:00.013429+00,2024-12-24 17:24:00.481705+00,0
dw_sf_4,transform_load_master_prospect,2024-12-24 17:24:01.201114+00,2024-12-24 17:24:01.48188+00,0
dw_sf_4,transform_load_master_dimbroker,2024-12-24 17:24:01.227241+00,2024-12-24 17:24:01.429101+00,0
dw_sf_4,transform_load_master_dimcompany,2024-12-24 17:24:01.273676+00,2024-12-24 17:24:01.488197+00,0
dw_sf_4,transform_load_master_dimsecurity,2024-12-24 17:24:02.979739+00,2024-12-24 17:24:20.198145+00,17
dw_sf_4,transform_load_master_dimcustomer,2024-12-24 17:24:03.004619+00,2024-12-24 17:24:03.891559+00,1
dw_sf_4,transform_load_master_financial,2024-12-24 17:24:03.03144+00,2024-12-24 17:24:03.998381+00,1
dw_sf_4,load_master_dimessages_dimcompany,2024-12-24 17:24:03.057193+00,2024-12-24 17:24:03.261966+00,0
dw_sf_4,transform_load_master_dimaccount,2024-12-24 17:24:05.05701+00,2024-12-24 17:25:14.73176+00,70
dw_sf_4,update_master_prospect,2024-12-24 17:24:05.086684+00,2024-12-24 17:24:05.626079+00,1
dw_sf_4,load_master_dimessages_dimcustomer,2024-12-24 17:24:05.115247+00,2024-12-24 17:24:05.34696+00,0
dw_sf_4,transform_load_master_factwatches,2024-12-24 17:24:21.244014+00,2024-12-24 17:24:51.509179+00,30
dw_sf_4,transform_load_master_factmarkethistory,2024-12-24 17:24:21.27622+00,2024-12-24 17:29:56.402404+00,335
dw_sf_4,transform_load_master_factcashbalances,2024-12-24 17:25:15.395802+00,2024-12-24 17:25:17.465277+00,2
dw_sf_4,load_master_dimessages_factmarkethistory,2024-12-24 17:29:57.334201+00,2024-12-24 17:29:57.831763+00,0
dw_sf_4,transform_load_master_dimtrade,2024-12-24 17:29:59.126824+00,2024-12-24 17:30:28.609005+00,29
dw_sf_4,load_master_dimessages_dimtrade,2024-12-24 17:30:29.51072+00,2024-12-24 17:30:29.958315+00,0
dw_sf_4,transform_load_master_factholdings,2024-12-24 17:30:29.541196+00,2024-12-24 17:30:30.603167+00,1
